Viewer_ID,Live_ID,Streamer_ID,Viewer_Age,Viewer_Gender,Viewer_Country,Viewer_Device_Brand,Viewer_Device_Price,Account_Age_Days,Accumulated_Watch_Count,Accumulated_Watch_Duration,Is_Live_Streamer,Is_Photo_Author,Watch_Time,Click_Count,Comment_Count,Like_Count,Gift_Count,Gift_Value,Has_Comment,Has_Like,Has_Gift,Interaction_Count,Like_Rate,Comment_Rate,Gift_Rate,Engagement_Score,Engagement_Level,Streamer_Gender,Streamer_Age,Log_Watch_Time,Log_Click_Count,Log_Comment_Count,Log_Like_Count,Log_Gift_Count,Log_Gift_Value,Z_Watch_Time,Z_Click_Count,Z_Comment_Count,Z_Like_Count,Z_Gift_Count,Z_Gift_Value,Watch_Time_Level,Like_Behavior,Comment_Behavior,Gift_Behavior,Gift_Value_Level
1,1520913,285858,24-30,F,China,HUAWEI,1000-2000,872,50000-100000,0-1000000000,1,1,4519,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.3665,Medium,F,24-30,8.416267272826277,0.6931471805599453,0.0,0.0,0.0,0.0,-0.29178185846304233,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Medium,No_Like,No_Comment,No_Gift,No_Gift
7,541927,244121,18-23,M,China,IQOO,2000-4000,1490,100000-500000,1000000000-5000000000,1,1,1600101,1,0,1,0,0,0,1,0,1,3.749763296191928e-05,0.0,0.0,5.8529,High,M,24-30,14.285577935178065,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,2.8011018091389626,-0.32613393012780506,-0.19115831293500873,4.776307491882421,-0.11966752387194891,-0.09505241341447639,Long,Liked,No_Comment,No_Gift,No_Gift
19,5056801,392962,12-17,F,China,VIVO,1000-2000,807,100000-500000,5000000000-10000000000,1,1,11329,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.7341,Medium,M,18-23,9.335209354022052,0.6931471805599453,0.0,0.0,0.0,0.0,0.19246256441842896,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Medium,No_Like,No_Comment,No_Gift,No_Gift
19,5605873,107543,12-17,F,China,VIVO,1000-2000,807,100000-500000,5000000000-10000000000,1,1,2267,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.0907,Medium,F,18-23,7.7266536648476425,0.6931471805599453,0.0,0.0,0.0,0.0,-0.6551796725802073,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Medium,No_Like,No_Comment,No_Gift,No_Gift
22,1277396,33084,31-40,M,China,HONOR,2000-4000,3220,0-50000,1000000000-5000000000,0,1,26729,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,4.0774,High,M,18-23,10.193541809132965,0.6931471805599453,0.0,0.0,0.0,0.0,0.6447682242319015,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Long,No_Like,No_Comment,No_Gift,No_Gift
44,9589612,129867,18-23,F,China,APPLE,5000+,3067,0-50000,1000000000-5000000000,0,1,28732,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,4.1063,High,F,24-30,10.265801566988308,0.6931471805599453,0.0,0.0,0.0,0.0,0.6828461243044318,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Long,No_Like,No_Comment,No_Gift,No_Gift
44,9651697,277458,18-23,F,China,APPLE,5000+,3067,0-50000,1000000000-5000000000,0,1,1752,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.9876,Low,M,24-30,7.469083884921234,0.6931471805599453,0.0,0.0,0.0,0.0,-0.7909082804918943,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Short,No_Like,No_Comment,No_Gift,No_Gift
51,10983667,443243,18-23,M,China,HONOR,2000-4000,2042,100000-500000,1000000000-5000000000,0,1,401766,1,1,0,0,0,1,0,0,1,0.0,0.0001493406609817655,0.0,5.3001,High,M,24-30,12.903627597576943,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,2.0728712085643215,-0.32613393012780506,4.932438691789455,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Long,No_Like,Commented,No_Gift,No_Gift
57,6538784,104613,31-40,F,China,XIAOMI,2000-4000,1605,0-50000,1000000000-5000000000,0,1,10274,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.695,Medium,F,31-40,9.237469039364436,0.6931471805599453,0.0,0.0,0.0,0.0,0.14095746607529738,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Medium,No_Like,No_Comment,No_Gift,No_Gift
60,394891,102289,24-30,M,China,OPPO,2000-4000,2834,100000-500000,10000000000-50000000000,0,1,14711,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.8386,High,F,24-30,9.596418766284158,1.0986122886681098,0.0,0.0,0.0,0.0,0.33010910785180586,2.001678333500287,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Long,No_Like,No_Comment,No_Gift,No_Gift
60,1127182,209806,24-30,M,China,OPPO,2000-4000,2834,100000-500000,10000000000-50000000000,0,1,32011,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,4.1495,High,F,24-30,10.373866111486937,1.0986122886681098,0.0,0.0,0.0,0.0,0.7397916642416096,2.001678333500287,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Long,No_Like,No_Comment,No_Gift,No_Gift
60,2123023,19007,24-30,M,China,OPPO,2000-4000,2834,100000-500000,10000000000-50000000000,0,1,635623,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,5.3449,High,F,31-40,13.362362472529053,1.0986122886681098,0.0,0.0,0.0,0.0,2.3146054911947664,2.001678333500287,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Long,No_Like,No_Comment,No_Gift,No_Gift
60,3972499,134053,24-30,M,China,OPPO,2000-4000,2834,100000-500000,10000000000-50000000000,0,1,2818,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.1777,Medium,F,24-30,7.9441374911141125,0.6931471805599453,0.0,0.0,0.0,0.0,-0.5405747022654088,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Medium,No_Like,No_Comment,No_Gift,No_Gift
60,4299417,323114,24-30,M,China,OPPO,2000-4000,2834,100000-500000,10000000000-50000000000,0,1,1909,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.0219,Low,F,24-30,7.554858521040676,0.6931471805599453,0.0,0.0,0.0,0.0,-0.7457085992328988,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Short,No_Like,No_Comment,No_Gift,No_Gift
60,5029110,142918,24-30,M,China,OPPO,2000-4000,2834,100000-500000,10000000000-50000000000,0,1,582488,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,5.31,High,F,24-30,13.275065580123513,1.0986122886681098,0.0,0.0,0.0,0.0,2.2686036439104864,2.001678333500287,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Long,No_Like,No_Comment,No_Gift,No_Gift
60,7253709,221081,24-30,M,China,OPPO,2000-4000,2834,100000-500000,10000000000-50000000000,0,1,6583,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.517,Medium,M,24-30,8.792397742356906,0.6931471805599453,0.0,0.0,0.0,0.0,-0.09357667679480527,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Medium,No_Like,No_Comment,No_Gift,No_Gift
60,8679123,377604,24-30,M,China,OPPO,2000-4000,2834,100000-500000,10000000000-50000000000,0,1,59507,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,4.3975,High,F,12-17,10.993866036277135,0.6931471805599453,0.0,0.0,0.0,0.0,1.0665059500602636,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Long,No_Like,No_Comment,No_Gift,No_Gift
60,10236548,423425,24-30,M,China,OPPO,2000-4000,2834,100000-500000,10000000000-50000000000,0,1,3448,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.2583,Medium,M,31-40,8.145839612936841,0.6931471805599453,0.0,0.0,0.0,0.0,-0.4342860366632,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Medium,No_Like,No_Comment,No_Gift,No_Gift
67,91104,48540,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,27899,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,4.0946,High,F,18-23,10.236381967809457,0.6931471805599453,0.0,0.0,0.0,0.0,0.6673432138193346,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Long,No_Like,No_Comment,No_Gift,No_Gift
67,205472,404110,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,2385,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.1109,Medium,F,31-40,7.777373602657861,0.6931471805599453,0.0,0.0,0.0,0.0,-0.6284523656953885,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Medium,No_Like,No_Comment,No_Gift,No_Gift
67,372395,62168,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,4168,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.3342,Medium,F,41-49,8.335431477880796,1.0986122886681098,0.0,0.0,0.0,0.0,-0.3343789749435529,2.001678333500287,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Medium,No_Like,No_Comment,No_Gift,No_Gift
67,623561,232082,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,4546,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.3689,Medium,F,50+,8.42222295382501,1.0986122886681098,0.0,0.0,0.0,0.0,-0.2886434612048116,2.001678333500287,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Medium,No_Like,No_Comment,No_Gift,No_Gift
67,642457,401120,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,1425,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.9051,Low,F,18-23,7.262628600974241,0.6931471805599453,0.0,0.0,0.0,0.0,-0.8997016657024721,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Short,No_Like,No_Comment,No_Gift,No_Gift
67,1043314,307717,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,4632,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.3764,Medium,F,31-40,8.440959885416648,0.6931471805599453,0.0,0.0,0.0,0.0,-0.27876987416289944,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Medium,No_Like,No_Comment,No_Gift,No_Gift
67,1048648,240199,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,2771,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.1709,Medium,F,31-40,7.927324360309794,1.0986122886681098,0.0,0.0,0.0,0.0,-0.5494345259580767,2.001678333500287,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Medium,No_Like,No_Comment,No_Gift,No_Gift
67,1142886,258320,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,2786,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.1731,Medium,F,50+,7.932721027481948,0.6931471805599453,0.0,0.0,0.0,0.0,-0.5465907058373759,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Medium,No_Like,No_Comment,No_Gift,No_Gift
67,1407860,301170,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,2334,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.1023,Medium,F,31-40,7.755767170102998,0.6931471805599453,0.0,0.0,0.0,0.0,-0.6398380609172707,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Medium,No_Like,No_Comment,No_Gift,No_Gift
67,1462567,177063,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,1464,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.9158,Low,F,24-30,7.289610521451167,0.6931471805599453,0.0,0.0,0.0,0.0,-0.8854833109476428,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Short,No_Like,No_Comment,No_Gift,No_Gift
67,1695177,307429,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,3329,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.2443,Medium,F,31-40,8.110727582974489,0.6931471805599453,0.0,0.0,0.0,0.0,-0.45278862244444024,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Medium,No_Like,No_Comment,No_Gift,No_Gift
67,1741297,127145,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,2214,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.0812,Low,F,31-40,7.703007682479236,0.6931471805599453,0.0,0.0,0.0,0.0,-0.6676401260949212,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Short,No_Like,No_Comment,No_Gift,No_Gift
67,1862213,314141,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,10366,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.6986,Medium,M,41-49,9.246382963323112,0.6931471805599453,0.0,0.0,0.0,0.0,0.14565473487091254,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Medium,No_Like,No_Comment,No_Gift,No_Gift
67,2532946,116369,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,9966,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.6828,Medium,M,18-23,9.207034914967457,0.6931471805599453,0.0,0.0,0.0,0.0,0.12491994281230678,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Medium,No_Like,No_Comment,No_Gift,No_Gift
67,3381647,65965,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,2318,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.0996,Medium,F,50+,7.7488913372555315,0.6931471805599453,0.0,0.0,0.0,0.0,-0.643461340095778,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Medium,No_Like,No_Comment,No_Gift,No_Gift
67,3527800,286488,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,1163,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.8238,Low,F,41-49,7.059617628291383,0.6931471805599453,0.0,0.0,0.0,0.0,-1.0066800415077186,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Short,No_Like,No_Comment,No_Gift,No_Gift
67,3643786,376467,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,1706,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.977,Low,F,31-40,7.442492722794441,0.6931471805599453,0.0,0.0,0.0,0.0,-0.8049207217777272,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Short,No_Like,No_Comment,No_Gift,No_Gift
67,3859214,151468,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,55871,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,4.3723,High,M,31-40,10.930818639199273,0.6931471805599453,0.0,0.0,0.0,0.0,1.0332825826284224,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Long,No_Like,No_Comment,No_Gift,No_Gift
67,3880997,72244,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,43145,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,4.2689,High,F,31-40,10.67234499233055,0.6931471805599453,0.0,0.0,0.0,0.0,0.8970776742677735,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Long,No_Like,No_Comment,No_Gift,No_Gift
67,3950743,123613,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,13350,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.7997,High,F,24-30,9.499346567390095,1.3862943611198906,0.0,0.0,0.0,0.0,0.27895607884901674,3.653287418690806,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Long,No_Like,No_Comment,No_Gift,No_Gift
67,4047842,138921,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,14577,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.8349,High,F,31-40,9.587268821942159,1.0986122886681098,0.0,0.0,0.0,0.0,0.3252874660879165,2.001678333500287,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Long,No_Like,No_Comment,No_Gift,No_Gift
67,4251385,212024,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,1500,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.9256,Low,F,31-40,7.313886831633462,0.6931471805599453,0.0,0.0,0.0,0.0,-0.8726907007772393,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Short,No_Like,No_Comment,No_Gift,No_Gift
